id,"name","image_url","address","access","tele","open_hour","price","rental","parking","lesson","kid","homepage","created_at","updated_at","holiday","prefecture"
5,"APEX クライミングジム -新宿西口店-","http://www.climbing-net.com/wp-content/uploads/2015/05/apex_nihsi01.jpg","〒160-0023
東京都新宿区西新宿7-3-1　三光パークビル B1F","JR新宿駅西口より徒歩5分／東京メトロ新宿駅D5出口より徒歩1分","-","-","【税込価格】
初回登録料：￥1620
１日料金：平日￥1620、土日祝￥2160
夜間料金・時間帯：平日￥1300（21:00〜23:00）、土日￥1620（18:00〜22:00）","シューズ：￥300
チョーク：￥100","-","-","可
小学生以上","http://www.apex-climbing.com/","2015-07-21 14:57:11","2015-07-21 14:57:11","-","東京都"
6,"ジャムセッション三鷹","http://www.climbing-net.com/wp-content/uploads/2015/03/jamsession02.jpg","〒181-0012
東京都三鷹市上連雀2-2-5 ポリフォニー三鷹ビル2F　","JR・東西線三鷹駅南口より徒歩3分","0422-45-6010","平日14:00～23:30
土日祝10:00～22:00","【税別価格】
初回登録料：￥1500
１日料金：平日一般￥1500、土日祝一般￥1800
時間料金：￥1500（18:30～23:30）、￥1000（21:00～）
レディースデイ：女性￥1000（平日金曜）","シューズ： ￥300
チョーク： ￥100","有料のコインパーキング有（10台）","-","可　＊保護者同伴必須、詳細はホームページをご覧下さい","HP：http://ジャムセッション三鷹.com/
FB：https://www.facebook.com/jamsession.mitaka","2015-07-21 14:57:11","2015-07-21 14:57:11","なし","東京都"
7,"エナジークライミングジム吉祥寺店","http://www.climbing-net.com/wp-content/uploads/2015/03/enagy_kichijyoji01.jpg","〒180-0004
東京都武蔵野市吉祥寺本町2-4-1 B1","JR中央線、京王井の頭線吉祥寺駅北口より徒歩4分","0422-27-2152","平日14:00～23:00
土日祝11:00～21:00","【税込価格】
初回登録料：￥1080
１日料金：￥2160
夜間料金・時間帯：￥1620（18:00～23:00）","シューズ：￥420
チョーク：￥220","-","-","可　小学生から　※未就学児は要相談","http://www7a.biglobe.ne.jp/~energy/","2015-07-21 14:57:12","2015-07-21 14:57:12","第一月曜","東京都"
8,"AZABU Bouldering Gym B2［港区］","http://www.climbing-net.com/wp-content/uploads/2015/03/b2_01.jpg","〒108-0073
東京都港区三田5-2-30 B2F","南北線・都営大江戸線麻布十番駅2番出口より徒歩8分／南北線白金高輪駅2番出口より徒歩8分／JR田町駅三田口より徒歩10分／都営三田線三田駅A3出口より徒歩10分","03-5427-6222","平日12:00～23:00
土日祝10:00～23:00","【税込価格】
初回登録料：￥1500
１日料金：一般￥2000
夜間料金・時間帯：￥1500（21:00～23:00）","シューズ：￥300
チョーク（液体）：￥300","有／無料／3台","お客様のレベルに合わせてスタッフが丁寧にレクチャー致します。体験コースもあり。","可  小学生以上（保護者同伴必要）
＊ご利用に制限がございますので、詳細はホームページをご覧下さい","HP：http://www.azabu-b2.com
facebook：http://www.facebook.com/azabu.bouldering.gym.b2
BLOG：http://www.ameblo.jp/azabu-b2","2015-07-21 14:57:13","2015-07-21 14:57:13","なし（イベント時など臨時休業あり）","東京都"
9,"Ever Free Climbing Gym （ｴﾊﾞｰﾌﾘｰｸﾗｲﾐﾝｸﾞｼﾞﾑ）［新宿区］","http://www.climbing-net.com/wp-content/uploads/2014/12/everfree01.jpg","〒169-0074
東京都新宿区北新宿4-16-9 新関ビルB1","大久保駅(北口)・東中野駅(東口)より徒歩8分／新大久保駅・落合駅(3番出口)より徒歩10分","03-5332-5122","平日11:00～23:30
土日祝10:00～21:00","【税込価格】
初回登録料：￥1200
１日料金：￥1700
夜間料金：￥1400（平日20:00～Close）、￥1000（平日22:00～Close）
昼割料金：￥1200（平日Open～16:00）","シューズ：￥200 ※初回登録時無料
チョーク：￥100 ※初回登録時無料","-","初心者向けレッスン（予約制）　90分～2時間程度
初回登録料・利用料・レンタル込み　￥4200","可　小学生以上","http://everfree-climbing.com/","2015-07-21 14:57:13","2015-07-21 14:57:13","なし","東京都"
10,"ボルダリングジム 空の向こうへ四足歩行 ※通称「そらよん」 ［港区］","http://www.climbing-net.com/wp-content/uploads/2014/11/sorayon_1.jpg","〒108-0071
東京都港区白金台5-14-1　白金台アパートメントB1　","都営地下鉄三田線「白金台」駅より徒歩5分／東京メトロ南北線「白金台」駅より徒歩5分／JR山手線「目黒」駅徒歩より12分","03-6447-7413","平日12:00～23:00 
土日祝12:00～22:00","【税込価格】
初回登録料：￥1600
１日料金：￥2000
夜間料金・時間帯：￥1600（21:00～23:00）","シューズ：￥300
チョーク：￥100","-","ビレイ・懸垂下降・リードクリップのレッスン　※クリップ練習用の壁を使用","可　5歳～","https://www.facebook.com/sorayon2014","2015-07-21 14:57:15","2015-07-21 14:57:15","なし","東京都"
11,"ノースパークビル ボルダリングジム ［板橋］","http://www.climbing-net.com/wp-content/uploads/2014/10/snow_1.jpg","〒173-0004
東京都板橋区板橋4-12-6　ノースパークビル1F","ＪＲ板橋駅・東武東上線下板橋駅・都営三田線新板橋駅・板橋区役所前駅 
どの駅からでも徒歩約10分！","080-5504-1770","9:00～23:00","【税込価格】
初回登録料：なし
１部屋料金：1時間￥2000","シューズ：無料
チョーク：無料","駐輪場は有り（無料）／６台","-","全年齢対象（ただし、保護者が同伴で責任のもと）","http://freebouldering.web.fc2.com/","2015-07-21 14:57:15","2015-07-21 14:57:15","年中無休（臨時休業有）","東京都"
12,"クライミングジム NICO ［墨田区］","http://www.climbing-net.com/wp-content/uploads/2014/09/nico_1.jpg","〒130-0004
東京都墨田区本所1-9-7","都営地下鉄大江戸線両国駅・蔵前駅より徒歩8分／JR両国駅より徒歩12分","03-3625-0503","平日14:00～23:00
土日祝10:00～12:00(小学生) 20:00～20:00(一般・学生)","【税込価格】
初回登録料：一般￥1500、学生￥1300、小学生￥1000
１日料金 平日：一般￥1600、学生￥1400、
１日料金 土日祝：一般￥1800、学生￥1600、小学生￥1000
夜間料金・時間帯：￥1000（21:00～23:00）","シューズ：￥300
チョーク：￥100","-","-","可（土日祝10:00～12:00）
小学3年生～小学6年生","http://climb-nico.com/","2015-07-21 14:57:16","2015-07-21 14:57:16","火曜","東京都"
13,"YJ Rock Climbing GYM ［東日暮里］","http://www.climbing-net.com/wp-content/uploads/2014/07/yj_1.jpg","〒116-0014
東京都荒川区東日暮里3-23-13 真下1F","JR常磐線三河島駅より徒歩6分／JR山手線日暮里、鶯谷駅より徒歩12分／都営メトロ線・地下鉄日比谷線三ノ輪駅より徒歩13分","03-5615-2273","平日11:00～23:00
土日祝10:00～21:00","【税別価格】
初回登録料：￥500
１日料金：平日￥1750、土日祝￥2000
夜間料金・時間帯：￥1250（21:00～23：00)","シューズ：￥300
チョーク：￥200","-","-","可
５歳から","http://www.yj-rockclimbing.com/","2015-07-21 14:57:17","2015-07-21 14:57:17","月曜（祝日の場合は翌日）","東京都"
14,"クエール・クライミングジム ［練馬］","http://www.climbing-net.com/wp-content/uploads/2014/06/kueru_1.jpg","〒179-0085
東京都練馬区早宮2-26-19","有楽町線・副都心線平和台駅から徒歩6分／大江戸線練馬春日町駅から徒歩10分","03-6869-8998","平日13:00～23:00
土日祝11:00～21:00","【税込価格】
初回登録料：￥1600
１日料金：￥1600","シューズ：￥300
チョーク：￥無料","有／無料／2台　利用の際はスタッフへ確認を","-","可
小学生～中学生（保護者同伴必須。平日は19:00、土日祝日は17:00まで）","http://quail-climbing.com/","2015-07-21 14:57:17","2015-07-21 14:57:17","なし","東京都"
15,"2172 bouldering park ［福生］","http://www.climbing-net.com/wp-content/uploads/2014/06/2172_1.jpg","〒197-0011
東京都福生市福生2172","JR青梅線福生駅から徒歩15分／JR八高線東福生駅から徒歩5分","090-2320-1092","状況により変更予定","【税込価格】
初回登録料：なし
１日料金：￥1200～￥2000","シューズ：￥200
チョーク（販売のみ）：100g／￥320、200g／￥540","有／無料／3台","-","可
10歳から受け入れ可、ただし保護者同伴のこと","HP:http://2172bp.jimdo.com/
Facebook:https://www.facebook.com/2172bouldering
 Twitter：https://twitter.com/2172boulder","2015-07-21 14:57:26","2015-07-21 14:57:26","-","東京都"
